"kodinspire","full_name","POTA","WWFF"
"PL.ZIPOP.1393.OCHK.272","Obszar Chronionego Krajobrazu Doliny Widawki","PL-1125","SPFF-1250"
"PL.ZIPOP.1393.OCHK.279","Południowomałopolski Obszar Chronionego Krajobrazu","PL-0724","SPFF-0384"
"PL.ZIPOP.1393.OCHK.288","Obszar Chronionego Krajobrazu Kopuły Chełmca","PL-1731","SPFF-1563"
"PL.ZIPOP.1393.OCHK.291","Obszar Chronionego Krajobrazu Ostrzyca Proboszczowicka","PL-1791","SPFF-1831"
"PL.ZIPOP.1393.OCHK.345","Obszar Chronionego Krajobrazu Góry Bardzkie i Sowie","PL-1675","SPFF-0414"
"PL.ZIPOP.1393.OCHK.348","Obszar Chronionego Krajobrazu Pogórza Ciężkowickiego","PL-0631","SPFF-0970"
"PL.ZIPOP.1393.OCHK.364","Obszar Chronionego Krajobrazu Masyw Trójgarbu","PL-2593","SPFF-2410"
"PL.ZIPOP.1393.OCHK.365","Obszar Chronionego Krajobrazu Góry Bystrzyckie i Orlickie","PL-1695","SPFF-1006"
"PL.ZIPOP.1393.OCHK.502","Obszar Chronionego Krajobrazu Pogórza Ciężkowickiego","PL-0631","SPFF-0970"
"PL.ZIPOP.1393.OCHK.625","Obszar Chronionego Krajobrazu Wzgórz Szeskich","PL-0256","SPFF-1351"
# Rezerwaty
"PL.ZIPOP.1393.RP.137","Rezerwat przyrody Kostrza","PL-2198","SPFF-2233"
"PL.ZIPOP.1393.RP.188","Rezerwat przyrody Szczyt Wieżyca na Pojezierzu Kaszubskim","PL-1492","SPFF-0644"
"PL.ZIPOP.1393.RP.196","Rezerwat przyrody Romanka","PL-2160","SPFF-2247"
"PL.ZIPOP.1393.RP.203","Rezerwat przyrody Rezerwat Tysiąclecia na Cergowej Górze","PL-0425","SPFF-1056"
"PL.ZIPOP.1393.RP.605","Rezerwat przyrody Barania Góra","PL-0806","SPFF-0756"
"PL.ZIPOP.1393.RP.664","Rezerwat przyrody Czantoria","PL-1976","SPFF-2223"
"PL.ZIPOP.1393.RP.703","Rezerwat przyrody Na Policy","PL-2662",""
"PL.ZIPOP.1393.RP.777","Rezerwat przyrody Wilcze","PL-0353","SPFF-0829"
"PL.ZIPOP.1393.RP.919","Rezerwat przyrody Mogielica","PL-2291","SPFF-2425"
"PL.ZIPOP.1393.RP.930","Rezerwat przyrody Madohora","PL-2184","SPFF-2236"
"PL.ZIPOP.1393.RP.963","Rezerwat przyrody Kamień nad Jaśliskami","PL-2158","SPFF-2325"
"PL.ZIPOP.1393.RP.987","Rezerwat przyrody Luboń Wielki","PL-0949","SPFF-0223"
"PL.ZIPOP.1393.RP.1002","Rezerwat przyrody Rezerwat na Policy im.prof.Zenona Klemensiewicza","PL-1075","SPFF-0147"
"PL.ZIPOP.1393.RP.1004","Rezerwat przyrody Wierchomla","PL-0698","SPFF-0445"
"PL.ZIPOP.1393.RP.1010","Rezerwat przyrody Wysokie Skałki","PL-0787","SPFF-1245"
"PL.ZIPOP.1393.RP.1017","Rezerwat przyrody Szczytniak","PL-0593","SPFF-0159"
"PL.ZIPOP.1393.RP.1063","Rezerwat przyrody Oszast","PL-1977","SPFF-2244"
"PL.ZIPOP.1393.RP.1068","Rezerwat przyrody Lipowska","PL-1975","SPFF-2234"
"PL.ZIPOP.1393.RP.1076","Rezerwat przyrody Góra Ślęża","PL-1669","SPFF-0930"
"PL.ZIPOP.1393.RP.1107","Rezerwat przyrody Chwaniów","PL-0216","SPFF-1064"
"PL.ZIPOP.1393.RP.1114","Rezerwat przyrody Góra Radunia","PL-1662","SPFF-1009"
"PL.ZIPOP.1393.RP.1133","Rezerwat przyrody Śnieżnik Kłodzki","PL-1640","SPFF-1364"
"PL.ZIPOP.1393.RP.1151","Rezerwat przyrody Ostrzyca Proboszczowicka","PL-1792","SPFF-1831"
"PL.ZIPOP.1393.RP.1229","Rezerwat przyrody Baniska","PL-2741",""
"PL.ZIPOP.1393.RP.1338","Rezerwat przyrody Bukowa Kalenica w Górach Sowich","PL-1690","SPFF-0722"
"PL.ZIPOP.1393.RP.1377","Rezerwat przyrody Zwiezło w dolinie Olchowatego",,
"PL.ZIPOP.1393.RP.1386","Rezerwat przyrody Źródliska Jasiołki","PL-2140","SPFF-2358"
"PL.ZIPOP.1393.RP.1608","Rezerwat przyrody Przysłup","",""
"PL.ZIPOP.1393.RP.1646","Rezerwat przyrody Jaworzyna na Chełmie","",""
# Natura 2000
# Combined areas
"PL.ZIPOP.1393.N2K.PLC020001.B","Obszar (ptasi) Natura 2000 Karkonosze","PL-1804","SPFF-0403"
"PL.ZIPOP.1393.N2K.PLC020001.H","Obszar (siedliskowy) Natura 2000 Karkonosze","PL-1806","SPFF-0404"
"PL.ZIPOP.1393.N2K.PLC120001.B","Obszar (ptasi) Natura 2000 Tatry","PL-2597",""
"PL.ZIPOP.1393.N2K.PLC120001.H","Obszar (siedliskowy) Natura 2000 Tatry","PL-2599",""
"PL.ZIPOP.1393.N2K.PLC120002.B","Obszar Natura 2000 Pieniny","",""
"PL.ZIPOP.1393.N2K.PLC120002.H","Obszar Natura 2000 Pieniny","PL-0838","SPFF-0388"
"PL.ZIPOP.1393.N2K.PLC180001.B","Obszar Natura 2000 Bieszczady","PL-0227","SPFF-0435"
"PL.ZIPOP.1393.N2K.PLC180001.H","Obszar Natura 2000 Bieszczady","PL-0227","SPFF-0435"
# Not combined areass
"PL.ZIPOP.1393.N2K.PLB020006.B","Obszar (ptasi) Natura 2000 Góry Stołowe","PL-2340","SPFF-2447"
"PL.ZIPOP.1393.N2K.PLH020004.H","Obszar (siedliskowy) Natura 2000 Góry Stołowe","PL-2560",""
"PL.ZIPOP.1393.N2K.PLB120001.B","Obszar Natura 2000 Gorce","PL-2486","SPFF-2516"
"PL.ZIPOP.1393.N2K.PLH120018.H","Obszar Natura 2000 Ostoja Gorczańska","PL-0921","SPFF-1692"
"PL.ZIPOP.1393.N2K.PLB120011.B","Obszar Natura 2000 Babia Góra","PL-2714",""
"PL.ZIPOP.1393.N2K.PLH120001.H","Obszar Natura 2000 Ostoja Babiogórska","PL-2715",""
"PL.ZIPOP.1393.N2K.PLB180003.B","Obszar Natura 2000 Góry Słonne","",""
"PL.ZIPOP.1393.N2K.PLH180013.H","Obszar Natura 2000 Ostoja Góry Słonne","",""
"PL.ZIPOP.1393.N2K.PLB240002.B","Obszar Natura 2000 Beskid Żywiecki","PL-2016","SPFF-2166"
"PL.ZIPOP.1393.N2K.PLH240006.H","Obszar Natura 2000 Beskid Żywiecki","PL-2016","SPFF-2166"
# Unique areas
"PL.ZIPOP.1393.N2K.PLB020009.B","Obszar Natura 2000 Góry Izerskie","PL-2095","SPFF-2147"
"PL.ZIPOP.1393.N2K.PLB020010.B","Obszar Natura 2000 Sudety Wałbrzysko-Kamiennogórskie","PL-1751","SPFF-1846"
"PL.ZIPOP.1393.N2K.PLB120006.B","Obszar Natura 2000 Pasmo Policy","PL-2663","SPFF-2738"
"PL.ZIPOP.1393.N2K.PLB180002.B","Obszar Natura 2000 Beskid Niski","PL-0426","SPFF-1837"
"PL.ZIPOP.1393.N2K.PLH020016.H","Obszar Natura 2000 Góry Bialskie i Grupa Śnieżnika","PL-2407","SPFF-2518"
"PL.ZIPOP.1393.N2K.PLH020021.H","Obszar Natura 2000 Wzgórza Kiełczyńskie","","SPFF-2676"
"PL.ZIPOP.1393.N2K.PLH020037.H","Obszar Natura 2000 Góry i Pogórze Kaczawskie","PL-1773","SPFF-0272"
"PL.ZIPOP.1393.N2K.PLH020038.H","Obszar Natura 2000 Góry Kamienne","PL-1738","SPFF-1832"
"PL.ZIPOP.1393.N2K.PLH020040.H","Obszar Natura 2000 Masyw Ślęży","PL-2665",""
"PL.ZIPOP.1393.N2K.PLH020042.H","Obszar Natura 2000 Ostrzyca Proboszczowicka","",""
"PL.ZIPOP.1393.N2K.PLH020047.H","Obszar Natura 2000 Torfowiska Gór Izerskich","PL-1828","SPFF-0438"
"PL.ZIPOP.1393.N2K.PLH020057.H","Obszar Natura 2000 Masyw Chełmca","PL-2297","SPFF-2384"
"PL.ZIPOP.1393.N2K.PLH020071.H","Obszar Natura 2000 Ostoja Nietoperzy Gór Sowich","PL-1694","SPFF-2534"
"PL.ZIPOP.1393.N2K.PLH020096.H","Obszar Natura 2000 Góry Złote","PL-2683",""
"PL.ZIPOP.1393.N2K.PLH080008.H","Obszar Natura 2000 Buczyny Łagowsko-Sulęcińskie","PL-2711","SPFF-2687"
"PL.ZIPOP.1393.N2K.PLH120012.H","Obszar Natura 2000 Na Policy","PL-2664",""
"PL.ZIPOP.1393.N2K.PLH120019.H","Obszar Natura 2000 Ostoja Popradzka","PL-2400","SPFF-2457"
"PL.ZIPOP.1393.N2K.PLH120025.H","Obszar Natura 2000 Małe Pieniny","PL-2516","SPFF-2530"
"PL.ZIPOP.1393.N2K.PLH120036.H","Obszar Natura 2000 Łabowa","","SPFF-2626"
"PL.ZIPOP.1393.N2K.PLH120043.H","Obszar Natura 2000 Luboń Wielki","PL-0949",""
"PL.ZIPOP.1393.N2K.PLH120047.H","Obszar Natura 2000 Ostoja w Paśmie Brzanki","PL-2607",""
"PL.ZIPOP.1393.N2K.PLH120052.H","Obszar Natura 2000 Ostoje Nietoperzy Beskidu Wyspowego","PL-2224","SPFF-2534"
"PL.ZIPOP.1393.N2K.PLH120081.H","Obszar Natura 2000 Lubogoszcz","PL-2260","SPFF-2382"
"PL.ZIPOP.1393.N2K.PLH120094.H","Obszar Natura 2000 Ostoje Nietoperzy Powiatu Gorlickiego","PL-0609","SPFF-1594"
"PL.ZIPOP.1393.N2K.PLH160002.H","Obszar Natura 2000 Góra Świętej Anny","PL-1462","SPFF-0246"
"PL.ZIPOP.1393.N2K.PLH160007.H","Obszar Natura 2000 Góry Opawskie","PL-1559","SPFF-1611"
"PL.ZIPOP.1393.N2K.PLH180001.H","Obszar Natura 2000 Ostoja Magurska","PL-1993","SPFF-2125"
"PL.ZIPOP.1393.N2K.PLH180014.H","Obszar Natura 2000 Ostoja Jaśliska","PL-2513","SPFF-2456"
"PL.ZIPOP.1393.N2K.PLH180015.H","Obszar Natura 2000 Łysa Góra","PL-0463","SPFF-1902"
"PL.ZIPOP.1393.N2K.PLH180018.H","Obszar Natura 2000 Trzciana","PL-0438","SPFF-1896"
"PL.ZIPOP.1393.N2K.PLH180027.H","Obszar Natura 2000 Ostoja Czarnorzecka","PL-0392","SPFF-1719"
"PL.ZIPOP.1393.N2K.PLH180046.H","Obszar Natura 2000 Liwocz","PL-2007","SPFF-2133"
"PL.ZIPOP.1393.N2K.PLH220095.H","Obszar Natura 2000 Uroczyska Pojezierza Kaszubskiego","PL-2485","SPFF-2397"
"PL.ZIPOP.1393.N2K.PLH240005.H","Obszar Natura 2000 Beskid Śląski","PL-2118","SPFF-2165"
"PL.ZIPOP.1393.N2K.PLH240023.H","Obszar Natura 2000 Beskid Mały","PL-2054","SPFF-2164"
"PL.ZIPOP.1393.N2K.PLH260002.H","Obszar Natura 2000 Łysogóry","PL-0663","SPFF-0549"
"PL.ZIPOP.1393.N2K.PLH260028.H","Obszar Natura 2000 Ostoja Jeleniowska","PL-0584","SPFF-1640"
"PL.ZIPOP.1393.N2K.PLH280043.H","Obszar Natura 2000 Ostoja Dylewskie Wzgórza","PL-2423","SPFF-2455"
# Others
"PL.ZIPOP.1393.PP.1801052.31","","",""
"PL.ZIPOP.1393.PP.1215072.2053","","",""
"PL.ZIPOP.1393.PP.1205102.3160","","",""
"PL.ZIPOP.1393.UE.1821022.372","","",""
"PL.ZIPOP.1393.ZPK.41","Zespół przyrodniczo-krajobrazowy Kokocz","","SPFF-2717"
"PL.ZIPOP.1393.ZPK.334","Zespół przyrodniczo-krajobrazowy Dolina Wapienicy","PL-1278","SPFF-0474"
"PL.ZIPOP.1393.ZPK.347","Zespół przyrodniczo-krajobrazowy Dolina Skawicy","PL-2394","SPFF-2058"
